Tag	Timestamp	Timestamp.loc	date	day	rhour	x	y	ClosestRoost
1	12-1-2013 14:30	12-1-2013 13:30	12-1-2013	33	13.5	364300.2813	2197328.5	1
1	12-1-2013 15:00	12-1-2013 14:00	12-1-2013	33	14	364300.6875	2197325.5	1
1	12-1-2013 15:30	12-1-2013 14:30	12-1-2013	33	14.5	364305.5	2197323.75	1
1	12-1-2013 16:00	12-1-2013 15:00	12-1-2013	33	15	364298.2188	2197312	1
1	12-1-2013 16:30	12-1-2013 15:30	12-1-2013	33	15.5	364298.1563	2197309.75	1
1	12-1-2013 17:00	12-1-2013 16:00	12-1-2013	33	16	364428.6563	2197304.5	1
1	12-1-2013 17:30	12-1-2013 16:30	12-1-2013	33	16.5	364377.625	2197608	1
1	12-1-2013 18:00	12-1-2013 17:00	12-1-2013	33	17	364387.6875	2197587.25	1
1	12-1-2013 18:30	12-1-2013 17:30	12-1-2013	33	17.5	364540.4375	2197779.5	1
1	12-1-2013 19:00	12-1-2013 18:00	12-1-2013	33	18	364698.4375	2197926	1
1	12-1-2013 19:30	12-1-2013 18:30	12-1-2013	33	18.5	364894.2813	2197599.75	1
1	12-1-2013 20:00	12-1-2013 19:00	12-1-2013	33	19	364859.1406	2197622	1
1	12-1-2013 20:30	12-1-2013 19:30	12-1-2013	33	19.5	364860.5938	2197611.25	1
1	12-1-2013 21:00	12-1-2013 20:00	12-1-2013	33	20	364865.625	2197587.75	1
1	12-1-2013 21:30	12-1-2013 20:30	12-1-2013	33	20.5	364720.5	2197531.875	1
1	12-1-2013 22:00	12-1-2013 21:00	12-1-2013	33	21	364705.6875	2197508	1
1	12-1-2013 22:30	12-1-2013 21:30	12-1-2013	33	21.5	364692.75	2197481.5	1
1	12-1-2013 23:00	12-1-2013 22:00	12-1-2013	33	22	364678.1875	2197499	1
1	12-1-2013 23:30	12-1-2013 22:30	12-1-2013	33	22.5	364671.4063	2197508.75	1
1	13-1-2013 00:00	12-1-2013 23:00	12-1-2013	33	23	364673.75	2197508	1
1	13-1-2013 00:00	12-1-2013 23:00	12-1-2013	32	23	364418.1875	2197552.75	1
1	13-1-2013 00:30	12-1-2013 23:30	12-1-2013	32	23.5	364417.0313	2197577.75	1
1	13-1-2013 01:00	13-1-2013 00:00	13-1-2013	32	0	364370.9063	2197607.75	1
1	13-1-2013 01:30	13-1-2013 00:30	13-1-2013	32	0.5	364302.2188	2197626.5	1
1	13-1-2013 02:00	13-1-2013 01:00	13-1-2013	32	1	364277.75	2197502.75	1
1	13-1-2013 02:30	13-1-2013 01:30	13-1-2013	32	1.5	364271.1875	2197484.25	1
1	13-1-2013 03:00	13-1-2013 02:00	13-1-2013	32	2	364282.3438	2197468.25	1
1	13-1-2013 03:30	13-1-2013 02:30	13-1-2013	32	2.5	364285.0938	2197493.75	1
1	13-1-2013 04:00	13-1-2013 03:00	13-1-2013	32	3	364299	2197575.25	1
